citizen_id,age,gender,county,subcounty,ward,occupation,education_level,language_preference,feedback_text,feedback_category,sentiment_score,response_status,service_satisfaction_score,,submission_date
C0045,27,Female,Kisumu,Kisumu Central,Railways,Business,Diploma,Swahili,Public transport is unreliable.,Transport,2,Pending,1,,1/25/2024
C0046,26,Male,Kisumu,Kisumu Central,Migosi,Business,Primary,English,Roads are in poor condition.,Infrastructure,2,Pending,2,,2/27/2024
C0047,45,Female,Kisumu,Seme,Central Seme,Nurse,Primary,Swahili,Water supply is inconsistent.,Infrastructure,3,Resolved,1,,8/12/2024
C0048,78,Male,Nairobi,Kasarani,Roysambu,Teacher,High School,English,Retirement benefits are too low.,Pension,1,Unresolved,2,,10/29/2023
C0049,54,Male,Kisumu,Seme,East Seme,Engineer,Master's,Swahili,Public transport is unreliable.,Transport,3,Resolved,1,,11/28/2023
C0050,31,Female,Kiambu,Thika,Kamenu,Engineer,Bachelor's,Swahili,The curriculum is outdated.,Education,2,Unresolved,1,,10/21/2023
C0051,42,Male,Mombasa,Changamwe,Kipevu,Nurse,Bachelor's,English,Public transport is unreliable.,Transport,1,Resolved,1,,6/9/2024
C0052,55,Female,Kisumu,Nyando,Onjiko,Teacher,PhD,Swahili,More resources for education needed.,Education,1,Unresolved,2,,10/19/2023
C0053,65,Male,Kisumu,Seme,Central Seme,Business,High School,Swahili,The curriculum is outdated.,Education,1,Unresolved,3,,12/24/2023
C0054,77,Male,Kiambu,Limuru,Bibirioni,Business,Diploma,English,Fares are too high.,Transport,2,Resolved,3,,3/2/2024
C0055,76,Female,Nairobi,Westlands,Kitisuru,Student,Primary,English,Public transport is unreliable.,Transport,1,Resolved,1,,8/3/2024
C0056,26,Male,Kiambu,Limuru,Ndeiya,Engineer,High School,English,Tax rates for small businesses are too high.,Business,2,Unresolved,1,,4/15/2024
C0057,56,Male,Mombasa,Kisauni,Mjambere,Teacher,High School,English,More resources for education needed.,Education,2,Unresolved,1,,3/14/2024
C0058,28,Female,Nairobi,Langata,Karen,Business,Master's,Swahili,More benefits for the elderly needed.,Pension,3,Pending,2,,7/12/2024
C0059,79,Male,Kiambu,Limuru,Limuru Central,Nurse,Bachelor's,English,Pension payments are delayed.,Pension,1,Pending,1,,12/20/2023
C0060,43,Male,Kisumu,Nyando,Kobura,Student,PhD,Swahili,Licensing process is too slow.,Business,2,Unresolved,2,,6/25/2024
C0061,80,Male,Mombasa,Kisauni,Bamburi,Nurse,Master's,English,Roads are in poor condition.,Infrastructure,1,Unresolved,1,,7/16/2024
C0062,19,Male,Mombasa,Changamwe,Port Reitz,Doctor,High School,English,Schools lack sufficient teachers.,Education,3,Pending,3,,8/7/2024
C0063,45,Female,Mombasa,Changamwe,Kipevu,Doctor,Master's,Swahili,Lack of medical equipment.,Healthcare,3,Resolved,3,,12/22/2023
C0064,38,Male,Kisumu,Nyando,Kobura,Nurse,Master's,Swahili,Tax rates for small businesses are too high.,Business,1,Resolved,3,,1/27/2024
C0065,78,Male,Nairobi,Westlands,Kangemi,Student,Primary,English,Need more buses in my area.,Transport,2,Pending,3,,8/8/2024
C0066,74,Male,Mombasa,Kisauni,Bamburi,Doctor,Primary,English,Pension payments are delayed.,Pension,3,Pending,3,,11/18/2023
C0067,71,Male,Kisumu,Nyando,Onjiko,Retired,Diploma,Swahili,More benefits for the elderly needed.,Pension,1,Unresolved,1,,7/17/2024
C0068,70,Female,Kisumu,Nyando,Kobura,Retired,Bachelor's,English,Need support for startups.,Business,3,Unresolved,2,,7/23/2024
C0069,70,Male,Mombasa,Changamwe,Kipevu,Business,Bachelor's,Swahili,Medication is unavailable in hospitals.,Healthcare,2,Pending,3,,9/23/2023
C0070,53,Female,Nairobi,Langata,Mugumu-ini,Engineer,Diploma,English,Roads are in poor condition.,Infrastructure,2,Pending,2,,12/14/2023
C0071,18,Female,Nairobi,Kasarani,Mwiki,Business,Diploma,Swahili,Medication is unavailable in hospitals.,Healthcare,3,Unresolved,2,,1/15/2024
C0072,23,Female,Mombasa,Kisauni,Bamburi,Engineer,Diploma,English,Need more buses in my area.,Transport,3,Unresolved,1,,12/15/2023
C0073,18,Female,Kiambu,Ruiru,Mugutha,Engineer,High School,English,Need more buses in my area.,Transport,1,Unresolved,2,,5/26/2024
C0074,58,Female,Kiambu,Limuru,Ndeiya,Retired,Master's,Swahili,Lack of medical equipment.,Healthcare,3,Resolved,2,,2/16/2024
C0075,74,Female,Kiambu,Ruiru,Gitothua,Doctor,Primary,Swahili,Roads are in poor condition.,Infrastructure,1,Resolved,1,,12/28/2023
C0076,20,Male,Mombasa,Jomvu,Jomvu Kuu,Engineer,Master's,English,Public transport is unreliable.,Transport,3,Unresolved,3,,7/28/2024
C0077,47,Female,Mombasa,Kisauni,Junda,Student,Master's,Swahili,The curriculum is outdated.,Education,3,Unresolved,1,,2/12/2024
C0078,45,Female,Mombasa,Changamwe,Kipevu,Teacher,Primary,English,Need more buses in my area.,Transport,1,Resolved,1,,1/17/2024
C0079,34,Female,Nairobi,Kasarani,Kasarani,Business,Diploma,Swahili,Roads are in poor condition.,Infrastructure,2,Resolved,3,,9/10/2024
C0080,63,Male,Mombasa,Changamwe,Port Reitz,Engineer,High School,Swahili,Retirement benefits are too low.,Pension,2,Unresolved,1,,5/24/2024
C0081,62,Male,Nairobi,Langata,Nyayo Highrise,Nurse,High School,Swahili,Need more buses in my area.,Transport,1,Resolved,3,,3/28/2024
C0082,65,Female,Mombasa,Kisauni,Bamburi,Engineer,Bachelor's,Swahili,Medication is unavailable in hospitals.,Healthcare,2,Resolved,3,,8/9/2024
C0083,66,Male,Nairobi,Westlands,Kangemi,Teacher,Master's,Swahili,Licensing process is too slow.,Business,3,Pending,1,,7/25/2024
C0084,55,Male,Nairobi,Westlands,Parklands,Engineer,Primary,English,Licensing process is too slow.,Business,1,Pending,1,,2/27/2024
C0085,32,Male,Nairobi,Westlands,Parklands,Student,High School,English,Lack of medical equipment.,Healthcare,1,Unresolved,2,,8/30/2024
C0086,66,Female,Kiambu,Ruiru,Gitothua,Business,Bachelor's,Swahili,Schools lack sufficient teachers.,Education,3,Unresolved,3,,5/15/2024
C0087,50,Male,Kisumu,Kisumu Central,Market Milimani,Business,Diploma,Swahili,Medication is unavailable in hospitals.,Healthcare,3,Unresolved,1,,9/21/2023
C0088,53,Female,Kisumu,Kisumu Central,Migosi,Student,Primary,English,The curriculum is outdated.,Education,2,Pending,3,,12/27/2023
C0089,30,Female,Nairobi,Westlands,Parklands,Nurse,PhD,Swahili,Public facilities need maintenance.,Infrastructure,2,Pending,3,,7/18/2024
C0090,78,Female,Nairobi,Westlands,Kangemi,Business,Diploma,Swahili,The curriculum is outdated.,Education,2,Unresolved,2,,1/21/2024
C0091,69,Female,Nairobi,Westlands,Kangemi,Engineer,PhD,English,The curriculum is outdated.,Education,3,Resolved,2,,2/13/2024
C0092,31,Female,Mombasa,Kisauni,Mjambere,Nurse,Bachelor's,English,Licensing process is too slow.,Business,1,Pending,1,,12/16/2023
C0093,32,Male,Nairobi,Langata,Nyayo Highrise,Student,Bachelor's,English,Roads are in poor condition.,Infrastructure,2,Resolved,1,,12/11/2023
C0094,21,Female,Mombasa,Changamwe,Kipevu,Business,Bachelor's,Swahili,Public facilities need maintenance.,Infrastructure,2,Resolved,3,,11/19/2023
C0095,57,Male,Mombasa,Changamwe,Chaani,Doctor,Master's,English,Schools lack sufficient teachers.,Education,2,Pending,1,,6/25/2024
C0096,64,Female,Nairobi,Langata,Mugumu-ini,Student,High School,English,Fares are too high.,Transport,2,Resolved,3,,3/13/2024
C0097,41,Male,Kiambu,Ruiru,Mugutha,Engineer,Bachelor's,English,Licensing process is too slow.,Business,3,Unresolved,2,,2/26/2024
C0098,74,Female,Kiambu,Ruiru,Gitothua,Teacher,High School,English,Tax rates for small businesses are too high.,Business,3,Pending,2,,11/15/2023
C0099,47,Female,Kiambu,Limuru,Bibirioni,Student,Diploma,English,Schools lack sufficient teachers.,Education,1,Pending,2,,8/20/2024
C0100,55,Female,Nairobi,Kasarani,Kasarani,Business,PhD,English,Medication is unavailable in hospitals.,Healthcare,2,Pending,2,,2/20/2024
C0101,76,Female,Kisumu,Seme,Central Seme,Engineer,Master's,English,Water supply is inconsistent.,Infrastructure,2,Unresolved,1,,12/31/2023
C0102,55,Male,Mombasa,Changamwe,Kipevu,Teacher,PhD,English,More resources for education needed.,Education,2,Resolved,3,,11/9/2023
C0103,53,Female,Kiambu,Limuru,Bibirioni,Doctor,PhD,Swahili,Fares are too high.,Transport,2,Pending,1,,6/23/2024
C0104,28,Male,Kisumu,Nyando,Kobura,Student,Primary,English,More benefits for the elderly needed.,Pension,2,Unresolved,1,,4/16/2024
C0105,30,Female,Kisumu,Seme,Central Seme,Doctor,Diploma,English,More benefits for the elderly needed.,Pension,2,Resolved,2,,11/13/2023
C0106,34,Female,Kisumu,Seme,East Seme,Nurse,Master's,English,Need more buses in my area.,Transport,3,Resolved,2,,12/16/2023
C0107,40,Male,Nairobi,Langata,Nyayo Highrise,Teacher,Master's,Swahili,Public facilities need maintenance.,Infrastructure,3,Unresolved,3,,5/4/2024
C0108,37,Female,Kiambu,Limuru,Ndeiya,Teacher,Bachelor's,English,Water supply is inconsistent.,Infrastructure,2,Pending,2,,9/25/2023
C0109,30,Female,Nairobi,Kasarani,Mwiki,Teacher,Primary,Swahili,More benefits for the elderly needed.,Pension,3,Resolved,3,,3/21/2024
C0110,46,Male,Nairobi,Westlands,Parklands,Student,Master's,Swahili,Medication is unavailable in hospitals.,Healthcare,1,Pending,3,,2/2/2024
C0111,20,Female,Nairobi,Kasarani,Roysambu,Nurse,Master's,Swahili,Healthcare facilities are understaffed.,Healthcare,3,Pending,3,,2/8/2024
C0112,64,Female,Mombasa,Jomvu,Miritini,Doctor,Primary,Swahili,More resources for education needed.,Education,1,Pending,2,,5/11/2024
C0113,44,Female,Kisumu,Nyando,Ahero,Doctor,High School,Swahili,Retirement benefits are too low.,Pension,2,Unresolved,1,,12/29/2023
C0114,71,Male,Kisumu,Seme,Central Seme,Student,High School,English,Water supply is inconsistent.,Infrastructure,1,Resolved,2,,4/15/2024
C0115,50,Female,Kisumu,Seme,Central Seme,Engineer,Diploma,English,Medication is unavailable in hospitals.,Healthcare,2,Pending,2,,4/14/2024
C0116,54,Male,Mombasa,Kisauni,Mjambere,Business,Bachelor's,Swahili,The curriculum is outdated.,Education,3,Resolved,3,,7/24/2024
C0117,69,Male,Nairobi,Westlands,Kitisuru,Nurse,Bachelor's,English,More resources for education needed.,Education,2,Pending,2,,6/23/2024
C0118,31,Male,Nairobi,Langata,Karen,Student,Bachelor's,English,Water supply is inconsistent.,Infrastructure,3,Resolved,1,,4/8/2024
C0119,76,Male,Kisumu,Kisumu Central,Migosi,Business,Primary,Swahili,Licensing process is too slow.,Business,2,Unresolved,2,,12/12/2023
C0120,43,Female,Nairobi,Kasarani,Roysambu,Nurse,Bachelor's,Swahili,Public transport is unreliable.,Transport,3,Unresolved,3,,9/30/2023
C0121,35,Male,Kisumu,Kisumu Central,Railways,Retired,PhD,Swahili,Schools lack sufficient teachers.,Education,1,Pending,1,,11/17/2023
C0122,40,Female,Kisumu,Nyando,Onjiko,Engineer,PhD,Swahili,Schools lack sufficient teachers.,Education,2,Unresolved,1,,7/20/2024
C0123,54,Female,Mombasa,Jomvu,Miritini,Business,High School,English,More benefits for the elderly needed.,Pension,2,Unresolved,1,,12/30/2023
C0124,25,Female,Nairobi,Langata,Nyayo Highrise,Teacher,PhD,English,Healthcare facilities are understaffed.,Healthcare,2,Resolved,2,,8/16/2024
C0125,52,Male,Kiambu,Limuru,Limuru Central,Nurse,Master's,Swahili,Public facilities need maintenance.,Infrastructure,3,Resolved,3,,11/21/2023
C0126,51,Male,Kisumu,Nyando,Ahero,Student,PhD,English,Licensing process is too slow.,Business,1,Pending,3,,1/11/2024
C0127,20,Male,Nairobi,Langata,Karen,Teacher,Bachelor's,English,Lack of medical equipment.,Healthcare,3,Unresolved,2,,1/14/2024
C0128,60,Female,Mombasa,Changamwe,Chaani,Student,Diploma,Swahili,Retirement benefits are too low.,Pension,2,Unresolved,3,,11/8/2023
C0129,21,Female,Kiambu,Ruiru,Mwiki,Nurse,High School,Swahili,Healthcare facilities are understaffed.,Healthcare,3,Resolved,3,,4/20/2024
C0130,55,Female,Kisumu,Kisumu Central,Market Milimani,Retired,High School,English,Water supply is inconsistent.,Infrastructure,1,Pending,3,,1/23/2024
C0131,22,Male,Mombasa,Jomvu,Jomvu Kuu,Nurse,Bachelor's,English,Schools lack sufficient teachers.,Education,3,Unresolved,3,,1/24/2024
C0132,34,Male,Kisumu,Kisumu Central,Market Milimani,Student,Bachelor's,English,Healthcare facilities are understaffed.,Healthcare,1,Pending,3,,8/11/2024
C0133,43,Male,Kisumu,Seme,North Seme,Student,Primary,English,Water supply is inconsistent.,Infrastructure,3,Resolved,3,,4/21/2024
C0134,59,Female,Nairobi,Westlands,Kitisuru,Business,High School,English,Water supply is inconsistent.,Infrastructure,3,Unresolved,2,,8/9/2024
C0135,73,Female,Kisumu,Seme,Central Seme,Nurse,Diploma,Swahili,Need support for startups.,Business,2,Pending,1,,11/7/2023
C0136,40,Male,Mombasa,Changamwe,Kipevu,Retired,Diploma,English,Public facilities need maintenance.,Infrastructure,1,Unresolved,1,,1/9/2024
C0137,40,Female,Mombasa,Changamwe,Chaani,Teacher,Master's,Swahili,Schools lack sufficient teachers.,Education,3,Unresolved,1,,9/13/2024
C0138,61,Male,Nairobi,Langata,Karen,Business,Diploma,English,Public facilities need maintenance.,Infrastructure,3,Unresolved,2,,5/23/2024
C0139,79,Male,Kisumu,Kisumu Central,Railways,Doctor,Master's,English,Public transport is unreliable.,Transport,3,Unresolved,2,,1/3/2024
C0140,66,Female,Kisumu,Seme,North Seme,Student,Bachelor's,English,Healthcare facilities are understaffed.,Healthcare,1,Unresolved,3,,1/29/2024
C0141,43,Female,Mombasa,Changamwe,Port Reitz,Nurse,Diploma,Swahili,Public facilities need maintenance.,Infrastructure,3,Resolved,3,,2/2/2024
C0142,30,Female,Mombasa,Changamwe,Kipevu,Engineer,Master's,Swahili,Water supply is inconsistent.,Infrastructure,2,Resolved,1,,2/7/2024
C0143,55,Male,Mombasa,Kisauni,Junda,Engineer,High School,English,Roads are in poor condition.,Infrastructure,2,Unresolved,3,,11/8/2023
C0144,30,Female,Nairobi,Langata,Nyayo Highrise,Doctor,Master's,Swahili,Lack of medical equipment.,Healthcare,2,Pending,1,,10/3/2023
C0145,78,Female,Kiambu,Limuru,Bibirioni,Teacher,High School,English,Need support for startups.,Business,1,Resolved,1,,3/9/2024
C0146,61,Male,Kiambu,Ruiru,Mwiki,Business,Diploma,English,Tax rates for small businesses are too high.,Business,1,Resolved,2,,3/31/2024
C0147,26,Male,Kiambu,Thika,Kamenu,Business,PhD,English,Public transport is unreliable.,Transport,2,Unresolved,2,,7/12/2024
C0148,50,Male,Mombasa,Changamwe,Chaani,Student,Primary,English,Pension payments are delayed.,Pension,3,Unresolved,1,,9/29/2023
C0149,62,Male,Kisumu,Nyando,Onjiko,Engineer,Primary,English,Public transport is unreliable.,Transport,3,Unresolved,1,,10/25/2023
C0150,54,Male,Nairobi,Westlands,Kitisuru,Nurse,Master's,Swahili,Need more buses in my area.,Transport,2,Pending,1,,3/21/2024
C0151,25,Male,Kisumu,Seme,Central Seme,Teacher,PhD,English,The curriculum is outdated.,Education,2,Pending,2,,7/12/2024
C0152,25,Male,Kisumu,Nyando,Onjiko,Nurse,Bachelor's,Swahili,Licensing process is too slow.,Business,3,Unresolved,3,,10/16/2023
C0153,62,Male,Mombasa,Changamwe,Port Reitz,Teacher,High School,Swahili,Pension payments are delayed.,Pension,3,Pending,2,,10/20/2023
C0154,36,Male,Mombasa,Kisauni,Junda,Business,Diploma,English,Tax rates for small businesses are too high.,Business,3,Unresolved,2,,2/27/2024
C0155,61,Male,Mombasa,Kisauni,Bamburi,Teacher,Diploma,Swahili,Tax rates for small businesses are too high.,Business,3,Pending,3,,2/2/2024
C0156,52,Female,Kiambu,Ruiru,Gitothua,Doctor,PhD,Swahili,Public transport is unreliable.,Transport,1,Unresolved,3,,3/13/2024
C0157,65,Male,Nairobi,Langata,Nyayo Highrise,Teacher,Diploma,Swahili,Lack of medical equipment.,Healthcare,2,Unresolved,1,,11/16/2023
C0158,45,Female,Kiambu,Thika,Kiganjo,Doctor,Diploma,English,More resources for education needed.,Education,3,Resolved,2,,2/9/2024
C0159,78,Male,Kisumu,Seme,Central Seme,Retired,Diploma,Swahili,Roads are in poor condition.,Infrastructure,3,Unresolved,3,,11/3/2023
C0160,21,Male,Nairobi,Langata,Karen,Student,Master's,Swahili,Licensing process is too slow.,Business,1,Unresolved,1,,11/27/2023
C0161,19,Female,Kiambu,Thika,Kamenu,Engineer,Bachelor's,English,Healthcare facilities are understaffed.,Healthcare,2,Resolved,2,,2/25/2024
C0162,49,Female,Kiambu,Limuru,Ndeiya,Student,Master's,Swahili,Medication is unavailable in hospitals.,Healthcare,3,Pending,3,,6/27/2024
C0163,19,Female,Kisumu,Nyando,Kobura,Engineer,Master's,Swahili,Licensing process is too slow.,Business,3,Pending,1,,8/11/2024
C0164,39,Female,Nairobi,Kasarani,Mwiki,Retired,Bachelor's,Swahili,Water supply is inconsistent.,Infrastructure,2,Resolved,1,,10/12/2023
C0165,30,Male,Mombasa,Jomvu,Mikindani,Doctor,Primary,English,Public transport is unreliable.,Transport,1,Pending,2,,8/13/2024
C0166,69,Female,Kisumu,Seme,Central Seme,Retired,Bachelor's,Swahili,Need more buses in my area.,Transport,2,Unresolved,2,,8/16/2024
C0167,45,Male,Mombasa,Jomvu,Miritini,Engineer,Diploma,Swahili,Tax rates for small businesses are too high.,Business,2,Pending,2,,4/28/2024
C0168,37,Male,Kiambu,Thika,Kamenu,Business,Master's,English,Pension payments are delayed.,Pension,2,Resolved,2,,7/6/2024
C0169,27,Female,Kiambu,Ruiru,Mugutha,Student,PhD,Swahili,Public facilities need maintenance.,Infrastructure,3,Resolved,2,,9/2/2024
C0170,54,Male,Nairobi,Westlands,Kangemi,Doctor,High School,English,Retirement benefits are too low.,Pension,3,Pending,1,,10/17/2023
C0171,37,Female,Kiambu,Ruiru,Gitothua,Teacher,High School,English,Schools lack sufficient teachers.,Education,1,Pending,2,,9/11/2024
C0172,24,Female,Kiambu,Ruiru,Mwiki,Retired,PhD,English,Medication is unavailable in hospitals.,Healthcare,2,Pending,1,,2/15/2024
C0173,37,Male,Kiambu,Ruiru,Mugutha,Engineer,High School,Swahili,More benefits for the elderly needed.,Pension,3,Resolved,2,,5/24/2024
C0174,25,Female,Kiambu,Thika,Township,Engineer,Diploma,Swahili,Lack of medical equipment.,Healthcare,3,Unresolved,1,,6/29/2024
C0175,21,Male,Mombasa,Changamwe,Port Reitz,Engineer,Master's,Swahili,Licensing process is too slow.,Business,2,Resolved,3,,2/22/2024
C0176,58,Male,Mombasa,Kisauni,Mjambere,Teacher,Primary,Swahili,More benefits for the elderly needed.,Pension,1,Resolved,1,,12/3/2023
C0177,68,Female,Nairobi,Westlands,Kangemi,Nurse,High School,English,Retirement benefits are too low.,Pension,3,Pending,2,,1/2/2024
C0178,22,Female,Kisumu,Seme,East Seme,Student,Master's,Swahili,Public transport is unreliable.,Transport,1,Pending,2,,9/6/2024
C0179,25,Female,Kiambu,Limuru,Ndeiya,Teacher,Primary,Swahili,More resources for education needed.,Education,2,Unresolved,2,,3/25/2024
C0180,23,Male,Kisumu,Kisumu Central,Migosi,Teacher,PhD,Swahili,Pension payments are delayed.,Pension,2,Pending,1,,1/18/2024
C0181,77,Male,Nairobi,Westlands,Parklands,Student,Diploma,English,Roads are in poor condition.,Infrastructure,1,Resolved,1,,8/20/2024
C0182,59,Female,Kisumu,Kisumu Central,Migosi,Engineer,Primary,English,Licensing process is too slow.,Business,3,Pending,2,,3/22/2024
C0183,20,Female,Kisumu,Seme,North Seme,Engineer,PhD,Swahili,Water supply is inconsistent.,Infrastructure,3,Unresolved,1,,6/24/2024
C0184,57,Male,Nairobi,Langata,Mugumu-ini,Retired,Primary,Swahili,More resources for education needed.,Education,3,Unresolved,1,,5/5/2024
C0185,55,Female,Kisumu,Nyando,Onjiko,Student,High School,English,More resources for education needed.,Education,1,Pending,3,,12/21/2023
C0186,18,Male,Kiambu,Limuru,Ndeiya,Engineer,Primary,Swahili,Tax rates for small businesses are too high.,Business,2,Unresolved,3,,7/25/2024
C0187,54,Female,Kisumu,Kisumu Central,Railways,Business,Bachelor's,English,Licensing process is too slow.,Business,2,Unresolved,2,,9/1/2024
C0188,45,Male,Kisumu,Nyando,Ahero,Student,High School,Swahili,Need support for startups.,Business,1,Pending,2,,6/26/2024
C0189,54,Male,Kisumu,Nyando,Kobura,Engineer,Primary,Swahili,Pension payments are delayed.,Pension,1,Resolved,1,,9/29/2023
C0190,79,Female,Mombasa,Changamwe,Kipevu,Nurse,Primary,Swahili,Medication is unavailable in hospitals.,Healthcare,2,Unresolved,3,,1/16/2024
C0191,42,Female,Kisumu,Kisumu Central,Migosi,Retired,Bachelor's,Swahili,Licensing process is too slow.,Business,2,Resolved,1,,7/15/2024
C0192,69,Female,Mombasa,Kisauni,Junda,Nurse,Primary,English,More benefits for the elderly needed.,Pension,1,Unresolved,3,,2/7/2024
